image_path,x1,y1,x2,y2
D:\SEM 7\CVProject\datasets\bottles_closeups\image_2.jpg,1988,1685,2174,2053
D:\SEM 7\CVProject\datasets\bottles_closeups\image_20.jpg,0,2829,368,3502
D:\SEM 7\CVProject\datasets\bottles_closeups\image_20.jpg,1013,2357,1359,2892
D:\SEM 7\CVProject\datasets\bottles_closeups\image_20.jpg,1735,3007,2042,3428
D:\SEM 7\CVProject\datasets\bottles_closeups\image_20.jpg,2002,3489,2183,3948
D:\SEM 7\CVProject\datasets\bottles_closeups\image_20.jpg,806,458,1026,797
D:\SEM 7\CVProject\datasets\bottles_closeups\image_22.jpg,704,0,2178,3120
D:\SEM 7\CVProject\datasets\bottles_closeups\image_22.jpg,3175,3621,3853,4787
D:\SEM 7\CVProject\datasets\bottles_closeups\image_22.jpg,2083,1748,2347,2393
D:\SEM 7\CVProject\datasets\bottles_closeups\image_22.jpg,2372,1819,2643,2352
D:\SEM 7\CVProject\datasets\bottles_closeups\image_23.jpg,3035,3242,4283,5517
D:\SEM 7\CVProject\datasets\bottles_closeups\image_24.jpg,3110,277,3630,1915
D:\SEM 7\CVProject\datasets\bottles_closeups\image_24.jpg,2998,538,3418,1871
D:\SEM 7\CVProject\datasets\bottles_closeups\image_24.jpg,3426,273,3774,1359
D:\SEM 7\CVProject\datasets\bottles_closeups\image_24.jpg,3209,831,3525,1829
D:\SEM 7\CVProject\datasets\bottles_closeups\image_24.jpg,2966,721,3259,1695
D:\SEM 7\CVProject\datasets\bottles_closeups\image_24.jpg,3704,958,4024,1794
D:\SEM 7\CVProject\datasets\bottles_closeups\image_24.jpg,3856,877,4157,1658
D:\SEM 7\CVProject\datasets\bottles_closeups\image_24.jpg,3083,812,3353,1648
D:\SEM 7\CVProject\datasets\bottles_closeups\image_24.jpg,3997,734,4283,1472
D:\SEM 7\CVProject\datasets\bottles_closeups\image_24.jpg,3575,248,3819,1022
D:\SEM 7\CVProject\datasets\bottles_closeups\image_24.jpg,3222,421,3448,1135
D:\SEM 7\CVProject\datasets\bottles_closeups\image_24.jpg,3275,713,3494,1380
D:\SEM 7\CVProject\datasets\bottles_closeups\image_24.jpg,3079,594,3284,1292
D:\SEM 7\CVProject\datasets\bottles_closeups\image_24.jpg,1520,2543,1818,2991
D:\SEM 7\CVProject\datasets\bottles_closeups\image_25.jpg,0,1397,1779,3985
D:\SEM 7\CVProject\datasets\bottles_closeups\image_25.jpg,1051,3551,1450,4123
D:\SEM 7\CVProject\datasets\bottles_closeups\image_26.jpg,2773,4824,3469,5711
D:\SEM 7\CVProject\datasets\bottles_closeups\image_26.jpg,2302,4931,2550,5711
D:\SEM 7\CVProject\datasets\bottles_closeups\image_26.jpg,1277,4802,1619,5288
D:\SEM 7\CVProject\datasets\bottles_closeups\image_27.jpg,0,0,751,1966
D:\SEM 7\CVProject\datasets\bottles_closeups\image_27.jpg,0,2221,810,3602
D:\SEM 7\CVProject\datasets\bottles_closeups\image_27.jpg,0,3247,638,4405
D:\SEM 7\CVProject\datasets\bottles_closeups\image_27.jpg,1903,3028,2499,3848
D:\SEM 7\CVProject\datasets\bottles_closeups\image_27.jpg,1494,4546,2019,5342
D:\SEM 7\CVProject\datasets\bottles_closeups\image_27.jpg,0,1613,411,2234
D:\SEM 7\CVProject\datasets\bottles_closeups\image_27.jpg,1,42,352,697
D:\SEM 7\CVProject\datasets\bottles_closeups\image_27.jpg,3966,0,4283,659
D:\SEM 7\CVProject\datasets\bottles_closeups\image_28.jpg,1357,2696,2465,4446
D:\SEM 7\CVProject\datasets\bottles_closeups\image_29.jpg,0,4860,359,5387
D:\SEM 7\CVProject\datasets\bottles_closeups\image_3.jpg,920,986,1208,1373
D:\SEM 7\CVProject\datasets\bottles_closeups\image_3.jpg,2569,632,2841,976
D:\SEM 7\CVProject\datasets\bottles_closeups\image_3.jpg,86,587,321,902
D:\SEM 7\CVProject\datasets\bottles_closeups\image_30.jpg,1215,2901,1573,3753
D:\SEM 7\CVProject\datasets\bottles_closeups\image_30.jpg,2327,132,2552,693
D:\SEM 7\CVProject\datasets\bottles_closeups\image_31.jpg,3238,4404,3737,5542
D:\SEM 7\CVProject\datasets\bottles_closeups\image_31.jpg,3270,4355,3514,5207
D:\SEM 7\CVProject\datasets\bottles_closeups\image_32.jpg,0,1483,1372,4031
D:\SEM 7\CVProject\datasets\bottles_closeups\image_32.jpg,937,2170,1391,3014
D:\SEM 7\CVProject\datasets\bottles_closeups\image_32.jpg,888,922,1286,1601
D:\SEM 7\CVProject\datasets\bottles_closeups\image_32.jpg,1496,1387,1683,2030
D:\SEM 7\CVProject\datasets\bottles_closeups\image_32.jpg,283,3535,495,3990
D:\SEM 7\CVProject\datasets\bottles_closeups\image_32.jpg,1802,1790,2004,2225
D:\SEM 7\CVProject\datasets\bottles_closeups\image_32.jpg,1679,1516,1887,1857
D:\SEM 7\CVProject\datasets\bottles_closeups\image_33.jpg,722,2406,1659,3884
D:\SEM 7\CVProject\datasets\bottles_closeups\image_33.jpg,753,665,1176,1583
D:\SEM 7\CVProject\datasets\bottles_closeups\image_33.jpg,119,2377,417,2857
D:\SEM 7\CVProject\datasets\bottles_closeups\image_33.jpg,816,1528,951,1989
D:\SEM 7\CVProject\datasets\bottles_closeups\image_34.jpg,2511,2297,3023,3055
D:\SEM 7\CVProject\datasets\bottles_closeups\image_35.jpg,1310,522,1492,981
D:\SEM 7\CVProject\datasets\bottles_closeups\image_35.jpg,2859,2295,3023,2674
D:\SEM 7\CVProject\datasets\bottles_closeups\image_36.jpg,2638,3527,3023,4031
D:\SEM 7\CVProject\datasets\bottles_closeups\image_37.jpg,890,954,1111,1381
D:\SEM 7\CVProject\datasets\bottles_closeups\image_37.jpg,336,2922,538,3283
D:\SEM 7\CVProject\datasets\bottles_closeups\image_37.jpg,568,2676,736,3065
D:\SEM 7\CVProject\datasets\bottles_closeups\image_37.jpg,363,1027,575,1329
D:\SEM 7\CVProject\datasets\bottles_closeups\image_38.jpg,14,0,1946,3177
D:\SEM 7\CVProject\datasets\bottles_closeups\image_38.jpg,1612,125,2969,2726
D:\SEM 7\CVProject\datasets\bottles_closeups\image_4.jpg,0,2785,211,3567
D:\SEM 7\CVProject\datasets\bottles_closeups\image_4.jpg,925,897,1233,1412
D:\SEM 7\CVProject\datasets\bottles_closeups\image_4.jpg,1365,2787,1615,3116
D:\SEM 7\CVProject\datasets\bottles_closeups\image_4.jpg,1591,2744,1785,3129
D:\SEM 7\CVProject\datasets\bottles_closeups\image_5.jpg,2862,2578,3023,3150
D:\SEM 7\CVProject\datasets\bottles_closeups\image_5.jpg,1119,2259,1309,2663
D:\SEM 7\CVProject\datasets\bottles_closeups\image_6.jpg,0,1232,679,3540
D:\SEM 7\CVProject\datasets\bottles_closeups\image_6.jpg,628,2345,1590,3691
D:\SEM 7\CVProject\datasets\bottles_closeups\image_6.jpg,2035,2269,2225,2654
D:\SEM 7\CVProject\datasets\bottles_closeups\image_6.jpg,0,2585,182,2919
D:\SEM 7\CVProject\datasets\bottles_closeups\image_7.jpg,1815,2060,2004,2481
D:\SEM 7\CVProject\datasets\bottles_closeups\image_8.jpg,581,323,1305,1407
D:\SEM 7\CVProject\datasets\bottles_closeups\image_8.jpg,1285,2312,1744,2930
D:\SEM 7\CVProject\datasets\bottles_closeups\image_8.jpg,1492,2555,1801,3085
D:\SEM 7\CVProject\datasets\bottles_closeups\image_8.jpg,1096,2471,1272,3086
D:\SEM 7\CVProject\datasets\bottles_closeups\image_8.jpg,1632,2930,1818,3249
D:\SEM 7\CVProject\datasets\bottles_closeups\image_8.jpg,1648,2090,1801,2426
D:\SEM 7\CVProject\datasets\bottles_closeups\image_9.jpg,949,1205,1262,1802
D:\SEM 7\CVProject\datasets\bottles_closeups\image_9.jpg,1453,2995,1734,3533
D:\SEM 7\CVProject\datasets\bottles_closeups\image_9.jpg,1445,1217,1680,1736
D:\SEM 7\CVProject\datasets\bottles_closeups\image_9.jpg,1349,2347,1546,2803
D:\SEM 7\CVProject\datasets\bottles_closeups\image_9.jpg,1288,3114,1519,3475
D:\SEM 7\CVProject\datasets\bottles_occluded\image_0.jpg,1945,2606,3023,4031
D:\SEM 7\CVProject\datasets\bottles_occluded\image_0.jpg,1817,767,2161,1272
D:\SEM 7\CVProject\datasets\bottles_occluded\image_0.jpg,1712,1968,1951,2598
D:\SEM 7\CVProject\datasets\bottles_occluded\image_0.jpg,75,2431,240,3034
D:\SEM 7\CVProject\datasets\bottles_occluded\image_0.jpg,2218,2135,2449,2504
D:\SEM 7\CVProject\datasets\bottles_occluded\image_1.jpg,1932,1926,3023,3614
D:\SEM 7\CVProject\datasets\bottles_occluded\image_1.jpg,1335,2256,2027,3795
D:\SEM 7\CVProject\datasets\bottles_occluded\image_1.jpg,2063,1960,2590,3485
D:\SEM 7\CVProject\datasets\bottles_occluded\image_1.jpg,0,2731,399,3335
D:\SEM 7\CVProject\datasets\bottles_occluded\image_1.jpg,1146,499,1396,945
D:\SEM 7\CVProject\datasets\bottles_occluded\image_1.jpg,856,925,1036,1385
D:\SEM 7\CVProject\datasets\bottles_occluded\image_10.jpg,364,2418,589,3271
D:\SEM 7\CVProject\datasets\bottles_occluded\image_10.jpg,0,2650,226,3279
D:\SEM 7\CVProject\datasets\bottles_occluded\image_10.jpg,640,1992,920,2371
D:\SEM 7\CVProject\datasets\bottles_occluded\image_10.jpg,2144,3013,2390,3326
D:\SEM 7\CVProject\datasets\bottles_occluded\image_11.jpg,2348,0,2855,650
D:\SEM 7\CVProject\datasets\bottles_occluded\image_11.jpg,1334,2510,1804,3122
D:\SEM 7\CVProject\datasets\bottles_occluded\image_11.jpg,0,3249,380,3999
D:\SEM 7\CVProject\datasets\bottles_occluded\image_11.jpg,2764,0,2999,526
D:\SEM 7\CVProject\datasets\bottles_occluded\image_11.jpg,302,3457,583,3809
D:\SEM 7\CVProject\datasets\bottles_occluded\image_12.jpg,3012,5136,3427,5711
D:\SEM 7\CVProject\datasets\bottles_occluded\image_13.jpg,0,2998,1492,5711
D:\SEM 7\CVProject\datasets\bottles_occluded\image_13.jpg,2496,4039,3260,5565
D:\SEM 7\CVProject\datasets\bottles_occluded\image_13.jpg,2143,4572,2470,5383
D:\SEM 7\CVProject\datasets\bottles_occluded\image_13.jpg,2618,4313,2927,5009
D:\SEM 7\CVProject\datasets\bottles_occluded\image_13.jpg,215,4361,583,4887
D:\SEM 7\CVProject\datasets\bottles_occluded\image_13.jpg,2097,4298,2372,4990
D:\SEM 7\CVProject\datasets\bottles_occluded\image_13.jpg,2164,5045,2480,5582
D:\SEM 7\CVProject\datasets\bottles_occluded\image_13.jpg,2564,4073,2861,4506
D:\SEM 7\CVProject\datasets\bottles_occluded\image_14.jpg,1325,1059,2999,3999
D:\SEM 7\CVProject\datasets\bottles_occluded\image_14.jpg,2583,0,2999,747
D:\SEM 7\CVProject\datasets\bottles_occluded\image_14.jpg,2289,217,2650,843
D:\SEM 7\CVProject\datasets\bottles_occluded\image_14.jpg,1505,3400,1822,3999
D:\SEM 7\CVProject\datasets\bottles_occluded\image_14.jpg,2852,3304,2999,3833
D:\SEM 7\CVProject\datasets\bottles_occluded\image_14.jpg,1294,3597,1510,3909
D:\SEM 7\CVProject\datasets\bottles_occluded\image_15.jpg,2448,107,2825,744
D:\SEM 7\CVProject\datasets\bottles_occluded\image_15.jpg,1818,0,2235,562
D:\SEM 7\CVProject\datasets\bottles_occluded\image_15.jpg,2663,838,2999,1501
D:\SEM 7\CVProject\datasets\bottles_occluded\image_15.jpg,0,0,279,546
D:\SEM 7\CVProject\datasets\bottles_occluded\image_15.jpg,2222,0,2432,639
D:\SEM 7\CVProject\datasets\bottles_occluded\image_15.jpg,2527,728,2813,1104
D:\SEM 7\CVProject\datasets\bottles_occluded\image_15.jpg,2554,166,2802,586
D:\SEM 7\CVProject\datasets\bottles_occluded\image_15.jpg,0,411,286,769
D:\SEM 7\CVProject\datasets\bottles_occluded\image_15.jpg,2472,364,2689,713
D:\SEM 7\CVProject\datasets\bottles_occluded\image_15.jpg,2806,438,2999,823
D:\SEM 7\CVProject\datasets\bottles_occluded\image_15.jpg,1937,1686,2072,2192
D:\SEM 7\CVProject\datasets\bottles_occluded\image_16.jpg,2348,0,2855,650
D:\SEM 7\CVProject\datasets\bottles_occluded\image_16.jpg,1334,2510,1804,3122
D:\SEM 7\CVProject\datasets\bottles_occluded\image_16.jpg,0,3249,380,3999
D:\SEM 7\CVProject\datasets\bottles_occluded\image_16.jpg,2764,0,2999,526
D:\SEM 7\CVProject\datasets\bottles_occluded\image_16.jpg,302,3457,583,3809
D:\SEM 7\CVProject\datasets\bottles_occluded\image_17.jpg,364,2418,589,3271
D:\SEM 7\CVProject\datasets\bottles_occluded\image_17.jpg,0,2650,226,3279
D:\SEM 7\CVProject\datasets\bottles_occluded\image_17.jpg,640,1992,920,2371
D:\SEM 7\CVProject\datasets\bottles_occluded\image_17.jpg,2144,3013,2390,3326
D:\SEM 7\CVProject\datasets\bottles_occluded\image_18.jpg,2556,0,2775,493
D:\SEM 7\CVProject\datasets\bottles_occluded\image_19.jpg,1069,2491,1484,3266
D:\SEM 7\CVProject\datasets\bottles_occluded\image_19.jpg,627,194,930,623
D:\SEM 7\CVProject\datasets\bottles_occluded\image_2.jpg,772,2499,1118,3237
D:\SEM 7\CVProject\datasets\bottles_occluded\image_2.jpg,0,3407,409,4031
D:\SEM 7\CVProject\datasets\bottles_occluded\image_2.jpg,1009,1197,1221,2016
D:\SEM 7\CVProject\datasets\bottles_occluded\image_2.jpg,1120,1302,1381,1851
D:\SEM 7\CVProject\datasets\bottles_occluded\image_2.jpg,1457,1481,1619,1871
D:\SEM 7\CVProject\datasets\bottles_occluded\image_2.jpg,1460,1220,1620,1610
D:\SEM 7\CVProject\datasets\bottles_occluded\image_2.jpg,540,2561,756,2849
D:\SEM 7\CVProject\datasets\bottles_occluded\image_2.jpg,0,2695,207,2993
D:\SEM 7\CVProject\datasets\bottles_occluded\image_2.jpg,1382,1330,1509,1810
D:\SEM 7\CVProject\datasets\bottles_occluded\image_20.jpg,2346,0,3042,1284
D:\SEM 7\CVProject\datasets\bottles_occluded\image_20.jpg,2449,3212,2927,3823
D:\SEM 7\CVProject\datasets\bottles_occluded\image_20.jpg,2287,2317,2753,2920
D:\SEM 7\CVProject\datasets\bottles_occluded\image_20.jpg,3344,0,3693,455
D:\SEM 7\CVProject\datasets\bottles_occluded\image_21.jpg,1495,2523,1932,3131
D:\SEM 7\CVProject\datasets\bottles_occluded\image_22.jpg,0,0,2445,4721
D:\SEM 7\CVProject\datasets\bottles_occluded\image_22.jpg,3295,2440,4283,4353
D:\SEM 7\CVProject\datasets\bottles_occluded\image_22.jpg,2771,3277,3711,4734
D:\SEM 7\CVProject\datasets\bottles_occluded\image_22.jpg,2517,4200,3273,5175
D:\SEM 7\CVProject\datasets\bottles_occluded\image_22.jpg,3103,623,3809,1510
D:\SEM 7\CVProject\datasets\bottles_occluded\image_22.jpg,2386,2152,3043,2996
D:\SEM 7\CVProject\datasets\bottles_occluded\image_22.jpg,714,4687,1093,5559
D:\SEM 7\CVProject\datasets\bottles_occluded\image_22.jpg,2691,2121,3014,2932
D:\SEM 7\CVProject\datasets\bottles_occluded\image_22.jpg,2095,2286,2424,2913
D:\SEM 7\CVProject\datasets\bottles_occluded\image_22.jpg,3633,0,3896,709
D:\SEM 7\CVProject\datasets\bottles_occluded\image_22.jpg,3475,4110,3736,4789
D:\SEM 7\CVProject\datasets\bottles_occluded\image_22.jpg,2554,2358,2864,2896
D:\SEM 7\CVProject\datasets\bottles_occluded\image_22.jpg,3972,4667,4282,5177
D:\SEM 7\CVProject\datasets\bottles_occluded\image_22.jpg,2738,2415,3068,2855
D:\SEM 7\CVProject\datasets\bottles_occluded\image_22.jpg,1238,1845,1465,2391
D:\SEM 7\CVProject\datasets\bottles_occluded\image_22.jpg,3944,4401,4248,4803
D:\SEM 7\CVProject\datasets\bottles_occluded\image_23.jpg,923,1831,2079,3324
D:\SEM 7\CVProject\datasets\bottles_occluded\image_23.jpg,1152,2900,1466,3385
D:\SEM 7\CVProject\datasets\bottles_occluded\image_24.jpg,1619,2077,1962,2823
D:\SEM 7\CVProject\datasets\bottles_occluded\image_26.jpg,2199,2255,2544,3412
D:\SEM 7\CVProject\datasets\bottles_occluded\image_26.jpg,1789,3980,2087,4486
D:\SEM 7\CVProject\datasets\bottles_occluded\image_27.jpg,0,0,672,1552
D:\SEM 7\CVProject\datasets\bottles_occluded\image_27.jpg,142,1965,369,2572
D:\SEM 7\CVProject\datasets\bottles_occluded\image_27.jpg,256,2019,468,2393
D:\SEM 7\CVProject\datasets\bottles_occluded\image_27.jpg,494,2162,744,2477
D:\SEM 7\CVProject\datasets\bottles_occluded\image_27.jpg,1484,3508,1651,3906
D:\SEM 7\CVProject\datasets\bottles_occluded\image_27.jpg,2820,757,2980,1160
D:\SEM 7\CVProject\datasets\bottles_occluded\image_28.jpg,2533,1351,2909,2068
D:\SEM 7\CVProject\datasets\bottles_occluded\image_28.jpg,0,2193,331,2674
D:\SEM 7\CVProject\datasets\bottles_occluded\image_28.jpg,2776,0,2931,528
D:\SEM 7\CVProject\datasets\bottles_occluded\image_28.jpg,3325,2612,3539,2984
D:\SEM 7\CVProject\datasets\bottles_occluded\image_28.jpg,3415,1543,3655,1866
D:\SEM 7\CVProject\datasets\bottles_occluded\image_28.jpg,666,2492,859,2818
D:\SEM 7\CVProject\datasets\bottles_occluded\image_29.jpg,2627,161,3023,1627
D:\SEM 7\CVProject\datasets\bottles_occluded\image_29.jpg,2582,1583,3023,2537
D:\SEM 7\CVProject\datasets\bottles_occluded\image_29.jpg,1283,203,1757,904
D:\SEM 7\CVProject\datasets\bottles_occluded\image_29.jpg,1435,2560,1733,3107
D:\SEM 7\CVProject\datasets\bottles_occluded\image_29.jpg,426,3576,733,4031
D:\SEM 7\CVProject\datasets\bottles_occluded\image_29.jpg,2287,1811,2593,2223
D:\SEM 7\CVProject\datasets\bottles_occluded\image_29.jpg,1682,0,1956,431
D:\SEM 7\CVProject\datasets\bottles_occluded\image_29.jpg,381,1405,547,1862
D:\SEM 7\CVProject\datasets\bottles_occluded\image_29.jpg,1979,3144,2200,3459
D:\SEM 7\CVProject\datasets\bottles_occluded\image_29.jpg,2397,1529,2617,1835
D:\SEM 7\CVProject\datasets\bottles_occluded\image_3.jpg,1530,775,1855,1711
D:\SEM 7\CVProject\datasets\bottles_occluded\image_3.jpg,1804,914,2134,1475
D:\SEM 7\CVProject\datasets\bottles_occluded\image_3.jpg,118,196,358,539
D:\SEM 7\CVProject\datasets\bottles_occluded\image_3.jpg,1990,936,2133,1471
D:\SEM 7\CVProject\datasets\bottles_occluded\image_3.jpg,1673,931,1827,1399
D:\SEM 7\CVProject\datasets\bottles_occluded\image_3.jpg,1232,2047,1426,2388
D:\SEM 7\CVProject\datasets\bottles_occluded\image_30.jpg,602,1131,1356,2428
D:\SEM 7\CVProject\datasets\bottles_occluded\image_30.jpg,1523,2758,1944,3334
D:\SEM 7\CVProject\datasets\bottles_occluded\image_30.jpg,1395,2594,1583,3279
D:\SEM 7\CVProject\datasets\bottles_occluded\image_30.jpg,790,2729,994,3072
D:\SEM 7\CVProject\datasets\bottles_occluded\image_30.jpg,1883,3021,2050,3389
D:\SEM 7\CVProject\datasets\bottles_occluded\image_31.jpg,725,713,1023,1181
D:\SEM 7\CVProject\datasets\bottles_occluded\image_31.jpg,1569,2081,1727,2535
D:\SEM 7\CVProject\datasets\bottles_occluded\image_5.jpg,1386,1893,1985,2674
D:\SEM 7\CVProject\datasets\bottles_occluded\image_5.jpg,46,2410,220,2917
D:\SEM 7\CVProject\datasets\bottles_occluded\image_6.jpg,2616,2565,2855,2954
D:\SEM 7\CVProject\datasets\bottles_occluded\image_8.jpg,1325,1059,2999,3999
D:\SEM 7\CVProject\datasets\bottles_occluded\image_8.jpg,2583,0,2999,747
D:\SEM 7\CVProject\datasets\bottles_occluded\image_8.jpg,2289,217,2650,843
D:\SEM 7\CVProject\datasets\bottles_occluded\image_8.jpg,1505,3400,1822,3999
D:\SEM 7\CVProject\datasets\bottles_occluded\image_8.jpg,2852,3304,2999,3833
D:\SEM 7\CVProject\datasets\bottles_occluded\image_8.jpg,1294,3597,1510,3909
D:\SEM 7\CVProject\datasets\bottles_occluded\image_9.jpg,2448,107,2825,744
D:\SEM 7\CVProject\datasets\bottles_occluded\image_9.jpg,1818,0,2235,562
D:\SEM 7\CVProject\datasets\bottles_occluded\image_9.jpg,2663,838,2999,1501
D:\SEM 7\CVProject\datasets\bottles_occluded\image_9.jpg,0,0,279,546
D:\SEM 7\CVProject\datasets\bottles_occluded\image_9.jpg,2222,0,2432,639
D:\SEM 7\CVProject\datasets\bottles_occluded\image_9.jpg,2527,728,2813,1104
D:\SEM 7\CVProject\datasets\bottles_occluded\image_9.jpg,2554,166,2802,586
D:\SEM 7\CVProject\datasets\bottles_occluded\image_9.jpg,0,411,286,769
D:\SEM 7\CVProject\datasets\bottles_occluded\image_9.jpg,2472,364,2689,713
D:\SEM 7\CVProject\datasets\bottles_occluded\image_9.jpg,2806,438,2999,823
D:\SEM 7\CVProject\datasets\bottles_occluded\image_9.jpg,1937,1686,2072,2192
